Bin,p
ERR1039457,p__Acidobacteriota
ERR1039457,p__Acidobacteriota
ERR1039457,p__Myxococcota
ERR1039458,p__Acidobacteriota
ERR1039458,p__Bacteroidota
ERR1039458,p__Bacteroidota
ERR1039458,p__Actinomycetota
ERR1039458,p__Pseudomonadota
ERR1039458,p__Pseudomonadota
ERR1041384,p__Bacteroidota
ERR1041384,p__Acidobacteriota
ERR1041384,p__Acidobacteriota
ERR1041384,p__Verrucomicrobiota
ERR1041384,p__Pseudomonadota
ERR1041385,p__Desulfobacterota_B
ERR1041385,p__Pseudomonadota
ERR1041385,p__Acidobacteriota
ERR1041385,p__Acidobacteriota
ERR1041385,p__Bacteroidota
ERR1043165,p__Pseudomonadota
ERR1043165,p__Desulfobacterota_B
ERR1043165,p__Verrucomicrobiota
ERR1043165,p__Bacteroidota
ERR1043165,p__Pseudomonadota
ERR1043166,p__Acidobacteriota
ERR1043166,p__Verrucomicrobiota
ERR1043166,p__Pseudomonadota
ERR1043166,p__Gemmatimonadota
ERR1043166,p__Desulfobacterota_B
ERR1043166,p__Verrucomicrobiota
ERR1043166,p__Pseudomonadota
ERR1043166,p__Acidobacteriota
ERR1043166,p__Acidobacteriota
ERR1043166,p__Thermoproteota
ERR1043166,p__Acidobacteriota
ERR1044071,p__Acidobacteriota
ERR1044071,p__Acidobacteriota
ERR1044071,p__Verrucomicrobiota
ERR1044071,p__Thermoproteota
ERR1044071,p__Pseudomonadota
ERR1044072,p__Acidobacteriota
ERR1044072,p__Acidobacteriota
ERR1044072,p__Gemmatimonadota
ERR10466833,p__Bacteroidota
ERR10466834,p__Bacteroidota
ERR10466835,p__Pseudomonadota
ERR10466835,p__Bacteroidota
ERR10466839,p__Pseudomonadota
ERR10466839,p__Bacteroidota
ERR10466840,p__Bacteroidota
ERR1051325,p__Bacteroidota
ERR1051325,p__Acidobacteriota
ERR1051325,p__Bacteroidota
ERR1051325,p__Gemmatimonadota
ERR1051325,p__Thermoproteota
ERR1051325,p__Pseudomonadota
ERR1051325,p__Acidobacteriota
ERR1051325,p__Desulfobacterota_B
ERR1051326,p__Acidobacteriota
ERR1051326,p__Pseudomonadota
ERR1051326,p__Acidobacteriota
ERR1051326,p__Bacteroidota
ERR1051326,p__Bacteroidota
ERR1051326,p__Acidobacteriota
ERR1051326,p__Thermoproteota
ERR1051326,p__Bacteroidota
ERR1051326,p__Acidobacteriota
ERR1051326,p__Acidobacteriota
ERR1051326,p__Gemmatimonadota
ERR1051326,p__Gemmatimonadota
ERR1051326,p__Acidobacteriota
ERR1051326,p__Acidobacteriota
ERR1051326,p__Verrucomicrobiota
ERR1051326,p__Desulfobacterota_B
ERR1051326,p__Eisenbacteria
ERR1051326,p__Pseudomonadota
ERR1713331,p__Pseudomonadota
ERR1713332,p__Pseudomonadota
ERR1713336,p__Pseudomonadota
ERR1713337,p__Bacillota
ERR1713337,p__Bacillota_A
ERR1713337,p__Campylobacterota
ERR1713337,p__Bacteroidota
ERR1713337,p__Desulfobacterota
ERR1713337,p__Verrucomicrobiota
ERR1713338,p__Pseudomonadota
ERR1713338,p__Pseudomonadota
ERR1713338,p__Desulfobacterota
ERR1713338,p__Bacillota
ERR1713338,p__Desulfobacterota
ERR1713338,p__Bacillota_C
ERR1713342,p__Pseudomonadota
ERR1713342,p__Actinomycetota
ERR1713343,p__Bacteroidota
ERR1713344,p__Bacteroidota
ERR1713344,p__Bacteroidota
ERR1713344,p__Acidobacteriota
ERR1713344,p__Pseudomonadota
ERR1713345,p__Pseudomonadota
ERR1713345,p__Pseudomonadota
ERR1713345,p__Pseudomonadota
ERR1713346,p__Bacillota_A
ERR1713346,p__Halobacteriota
ERR1713346,p__Verrucomicrobiota
ERR1713346,p__Bacillota_A
ERR1713347,p__Fusobacteriota
ERR1713347,p__Campylobacterota
ERR1713347,p__Bacteroidota
ERR1713347,p__Bacteroidota
ERR1713347,p__Bacteroidota
ERR1713347,p__Pseudomonadota
ERR1713348,p__Desulfobacterota
ERR1713349,p__Pseudomonadota
ERR1713349,p__Pseudomonadota
ERR1713349,p__Bacteroidota
ERR1713350,p__Pseudomonadota
ERR1713350,p__Pseudomonadota
ERR1713352,p__Pseudomonadota
ERR1713353,p__Desulfobacterota
ERR1713353,p__Bacillota_A
ERR1713355,p__Desulfobacterota
ERR1713355,p__Desulfobacterota
ERR1713355,p__Pseudomonadota
ERR1713355,p__Pseudomonadota
ERR1713356,p__Pseudomonadota
ERR1713356,p__Pseudomonadota
ERR1713358,p__Verrucomicrobiota
ERR1713358,p__Hydrogenedentota
ERR1713358,p__Bacillota_A
ERR1713358,p__Chloroflexota
ERR1713358,p__Pseudomonadota
ERR1713360,p__Pseudomonadota
ERR1713362,p__Bacteroidota
ERR1713362,p__Bacillota_A
ERR1713362,p__Bacteroidota
ERR1713362,p__Bacillota_C
ERR1713362,p__Fusobacteriota
ERR1713363,p__Pseudomonadota
ERR1713364,p__Pseudomonadota
ERR1713365,p__Pseudomonadota
ERR1713367,p__Pseudomonadota
ERR1713369,p__Pseudomonadota
ERR1713369,p__Pseudomonadota
ERR1713370,p__Synergistota
ERR1713370,p__Bacteroidota
ERR1713370,p__Pseudomonadota
ERR1713370,p__Bacillota_C
ERR1713370,p__Synergistota
ERR1713370,p__Bacillota_A
ERR1713370,p__Bacillota_C
ERR1713370,p__Verrucomicrobiota
ERR1713370,p__4484-113
ERR1713374,p__Pseudomonadota
ERR1713375,p__Pseudomonadota
ERR1713376,p__Pseudomonadota
ERR1713376,p__Pseudomonadota
ERR1713377,p__Pseudomonadota
ERR1713378,p__Pseudomonadota
ERR1713378,p__Bacillota_A
ERR1713378,p__Verrucomicrobiota
ERR1713380,p__Pseudomonadota
ERR1713381,p__Bacillota_A
ERR1713381,p__Bacillota_A
ERR1713381,p__Bacillota_A
ERR1713383,p__Bacteroidota
ERR1713383,p__Bacteroidota
ERR1713383,p__Bacteroidota
ERR1713383,p__Bacteroidota
ERR1713383,p__Bacillota_A
ERR1713384,p__Pseudomonadota
ERR1713384,p__Bacillota_A
ERR1713384,p__Bacillota_C
ERR1713384,p__Bacillota_A
ERR1713384,p__Moduliflexota
ERR1713385,p__Fusobacteriota
ERR1713385,p__Pseudomonadota
ERR1713386,p__Bacillota_A
ERR1713386,p__Desulfobacterota
ERR1713387,p__Pseudomonadota
ERR1713387,p__Pseudomonadota
ERR1713387,p__Caldisericota
ERR1713387,p__Desulfobacterota
ERR1713387,p__Chloroflexota
ERR1713391,p__Pseudomonadota
ERR1713391,p__Pseudomonadota
ERR1713391,p__Pseudomonadota
ERR1713392,p__Pseudomonadota
ERR1713394,p__Actinomycetota
ERR1713394,p__Bacteroidota
ERR1713394,p__Bacteroidota
ERR1713394,p__Actinomycetota
ERR1713394,p__Pseudomonadota
ERR1713394,p__Pseudomonadota
ERR1713394,p__Pseudomonadota
ERR1713394,p__Pseudomonadota
ERR1713394,p__Bacillota_A
ERR1713394,p__Pseudomonadota
ERR1713394,p__Bacteroidota
ERR1713394,p__Bacillota
ERR1713394,p__Bacillota_A
ERR1713394,p__Bacteroidota
ERR1713394,p__Bacteroidota
ERR1713394,p__Pseudomonadota
ERR1713394,p__Bacteroidota
ERR1713394,p__Pseudomonadota
ERR1713394,p__Pseudomonadota
ERR1713394,p__Bacillota_A
ERR1713394,p__Pseudomonadota
ERR1713394,p__Pseudomonadota
ERR1713394,p__Bacillota
ERR1713394,p__Bacteroidota
ERR1713394,p__Bacillota
ERR1713394,p__Pseudomonadota
ERR1713394,p__Bacillota
ERR1713395,p__Actinomycetota
ERR1713396,p__Pseudomonadota
ERR1713396,p__Pseudomonadota
ERR1713396,p__Pseudomonadota
ERR1713396,p__Pseudomonadota
ERR1713396,p__Bacteroidota
ERR1713396,p__Pseudomonadota
ERR1713397,p__Pseudomonadota
ERR1713397,p__Bacillota
ERR1713397,p__Bacillota_C
ERR1713397,p__Pseudomonadota
ERR1713397,p__Bacillota_A
ERR1713397,p__Pseudomonadota
ERR1713397,p__Pseudomonadota
ERR1713397,p__Bacillota_A
ERR1713398,p__Pseudomonadota
ERR1713399,p__Synergistota
ERR1713400,p__Pseudomonadota
ERR1713400,p__Pseudomonadota
ERR1713400,p__Desulfobacterota
ERR1713401,p__Pseudomonadota
ERR1713405,p__Pseudomonadota
ERR1713405,p__Bacillota_C
ERR1713405,p__Actinomycetota
ERR1713405,p__Pseudomonadota
ERR1713405,p__Desulfobacterota
ERR1713406,p__Synergistota
ERR1713406,p__Actinomycetota
ERR1713406,p__Pseudomonadota
ERR1713406,p__Actinomycetota
ERR1713406,p__Bacillota_A
ERR1713406,p__Bacillota_C
ERR1713406,p__Pseudomonadota
ERR1713406,p__Verrucomicrobiota
ERR1713406,p__Bacillota_C
ERR1713407,p__Pseudomonadota
ERR1713407,p__Bacteroidota
ERR1713409,p__Pseudomonadota
ERR1713409,p__Desulfobacterota
ERR1713409,p__Pseudomonadota
ERR1713410,p__Pseudomonadota
ERR1725938,p__Pseudomonadota
ERR1725939,p__Pseudomonadota
ERR1725940,p__Pseudomonadota
ERR1725942,p__Bacillota_C
ERR1725942,p__Desulfobacterota
ERR1725942,p__Pseudomonadota
ERR1725942,p__Pseudomonadota
ERR1725944,p__Pseudomonadota
ERR1725950,p__Campylobacterota
ERR1725950,p__Bacteroidota
ERR1725950,p__Bacillota
ERR1725950,p__Desulfobacterota
ERR1725951,p__Bacillota_A
ERR1725951,p__Campylobacterota
ERR1725953,p__Pseudomonadota
ERR1725953,p__Pseudomonadota
ERR1725961,p__Bacteroidota
ERR1725965,p__Pseudomonadota
ERR1725966,p__Campylobacterota
ERR1725966,p__Pseudomonadota
ERR1725969,p__Eremiobacterota
ERR1725969,p__Verrucomicrobiota
ERR1725969,p__Bacillota_C
ERR1725969,p__Bacillota_A
ERR1725969,p__Pseudomonadota
ERR1725969,p__Pseudomonadota
ERR1725969,p__Actinomycetota
ERR1725969,p__Bacillota_C
ERR1725969,p__Actinomycetota
ERR1725970,p__Pseudomonadota
ERR1725970,p__Actinomycetota
ERR1725970,p__Pseudomonadota
ERR1725970,p__Bacillota_C
ERR1725970,p__Verrucomicrobiota
ERR1725970,p__Pseudomonadota
ERR1725971,p__Pseudomonadota
ERR1725971,p__Pseudomonadota
ERR1725971,p__Pseudomonadota
ERR1725971,p__Actinomycetota
ERR1725971,p__Verrucomicrobiota
ERR1725971,p__Bacillota_A
ERR1725972,p__Bacillota_A
ERR1725972,p__Pseudomonadota
ERR1725972,p__Verrucomicrobiota
ERR1725972,p__Actinomycetota
ERR1725972,p__Actinomycetota
ERR1725972,p__Pseudomonadota
ERR1725975,p__Pseudomonadota
ERR1725978,p__Bacteroidota
ERR1725981,p__Pseudomonadota
ERR1725983,p__Desulfobacterota
ERR1725983,p__Pseudomonadota
ERR1725983,p__Pseudomonadota
ERR1725983,p__Desulfobacterota
ERR1725983,p__Pseudomonadota
ERR1725985,p__Pseudomonadota
ERR1725986,p__Pseudomonadota
ERR1725986,p__Pseudomonadota
ERR1725988,p__Pseudomonadota
ERR1725989,p__Pseudomonadota
ERR1725990,p__Pseudomonadota
ERR1725992,p__Pseudomonadota
ERR1725992,p__Pseudomonadota
ERR1725993,p__Pseudomonadota
ERR1726005,p__Pseudomonadota
ERR1726012,p__Actinomycetota
ERR1726013,p__Desulfobacterota
ERR1726013,p__Pseudomonadota
ERR1726015,p__Pseudomonadota
ERR1726016,p__Pseudomonadota
ERR1726018,p__Pseudomonadota
ERR1726019,p__Pseudomonadota
ERR2592244,p__Pseudomonadota
ERR2592245,p__Pseudomonadota
ERR2592248,p__Pseudomonadota
ERR2592248,p__Pseudomonadota
ERR2592248,p__Pseudomonadota
ERR2592249,p__Desulfobacterota
ERR2592249,p__Pseudomonadota
ERR2592249,p__Pseudomonadota
ERR2592249,p__Bacillota
ERR2592249,p__Desulfobacterota
ERR2592250,p__Campylobacterota
ERR2592250,p__Pseudomonadota
ERR2592250,p__Pseudomonadota
ERR2592250,p__Actinomycetota
ERR2592250,p__Bacillota_C
ERR2592251,p__Bacteroidota
ERR2592252,p__Pseudomonadota
ERR2592252,p__Pseudomonadota
ERR2592252,p__Pseudomonadota
ERR2592252,p__Pseudomonadota
ERR2592253,p__Pseudomonadota
ERR2592253,p__Fusobacteriota
ERR2592253,p__Bacteroidota
ERR2592253,p__Campylobacterota
ERR2592253,p__Bacteroidota
ERR2592255,p__Pseudomonadota
ERR2592255,p__Pseudomonadota
ERR2592256,p__Pseudomonadota
ERR2592258,p__Bacillota_A
ERR2592258,p__Bacillota_C
ERR2592258,p__Fusobacteriota
ERR2592258,p__Bacteroidota
ERR2592259,p__Pseudomonadota
ERR2592260,p__Pseudomonadota
ERR2592263,p__Pseudomonadota
ERR2592264,p__Pseudomonadota
ERR2592265,p__Pseudomonadota
ERR2592265,p__Verrucomicrobiota
ERR2592266,p__Bacillota
ERR2592266,p__Bacillota
ERR2592267,p__Pseudomonadota
ERR2592267,p__Pseudomonadota
ERR2592268,p__Bacteroidota
ERR2592268,p__Bacillota_A
ERR2592269,p__Desulfobacterota
ERR2592269,p__Caldisericota
ERR2592269,p__Chloroflexota
ERR2592269,p__Pseudomonadota
ERR2592269,p__Pseudomonadota
ERR2592274,p__Pseudomonadota
ERR2592275,p__Actinomycetota
ERR2592275,p__Pseudomonadota
ERR2592276,p__Pseudomonadota
ERR2592277,p__Pseudomonadota
ERR2592278,p__Pseudomonadota
ERR2592278,p__Pseudomonadota
ERR2592279,p__Caldisericota
ERR2592279,p__Verrucomicrobiota
ERR2592280,p__Pseudomonadota
ERR2592282,p__Pseudomonadota
ERR2592328,p__Pseudomonadota
ERR2592329,p__Pseudomonadota
ERR2592333,p__Desulfobacterota
ERR2592334,p__Actinomycetota
ERR2592334,p__Actinomycetota
ERR2592334,p__Verrucomicrobiota
ERR2592334,p__Pseudomonadota
ERR2592334,p__Pseudomonadota
ERR2592334,p__Bacillota_C
ERR2592338,p__Bacillota
ERR2592338,p__Bacillota
ERR2592342,p__Pseudomonadota
ERR3525231,p__Pseudomonadota
ERR3525233,p__Pseudomonadota
ERR3525233,p__Pseudomonadota
ERR3525244,p__Pseudomonadota
ERR3525245,p__Pseudomonadota
ERR3525245,p__Verrucomicrobiota
ERR3525245,p__Pseudomonadota
ERR3525248,p__Pseudomonadota
ERR3525250,p__Verrucomicrobiota
ERR4902253,p__Spirochaetota
ERR6430820,p__Pseudomonadota
ERR6430820,p__Pseudomonadota
ERR6430820,p__Nitrospinota
ERR6430820,p__Pseudomonadota
ERR6430820,p__Pseudomonadota
ERR6430821,p__Bacillota
ERR6430821,p__Bacillota
ERR6430821,p__Pseudomonadota
ERR6430821,p__Pseudomonadota
ERR6430822,p__Pseudomonadota
ERR6430822,p__Actinomycetota
ERR6430822,p__Pseudomonadota
ERR6430822,p__Pseudomonadota
ERR6430822,p__Bacillota
ERR6430822,p__Pseudomonadota
ERR6430822,p__Pseudomonadota
ERR6430822,p__Pseudomonadota
ERR6430823,p__Pseudomonadota
ERR6430823,p__Actinomycetota
ERR6430823,p__Pseudomonadota
ERR6430823,p__Bacillota
ERR6430824,p__Pseudomonadota
ERR6430824,p__Nitrospinota
ERR6430824,p__Pseudomonadota
ERR6430824,p__Bacteroidota
ERR6430825,p__Pseudomonadota
ERR6430825,p__Bacillota
ERR6430825,p__Bacteroidota
ERR6430825,p__Pseudomonadota
ERR6430825,p__Pseudomonadota
ERR6430825,p__Desulfobacterota_F
ERR6430825,p__Pseudomonadota
ERR6430825,p__Pseudomonadota
ERR6430825,p__Verrucomicrobiota
ERR6430825,p__Pseudomonadota
ERR6430825,p__Pseudomonadota
ERR6430828,p__Pseudomonadota
ERR6430828,p__Pseudomonadota
ERR6430828,p__Pseudomonadota
ERR6430828,p__Pseudomonadota
ERR6430830,p__Pseudomonadota
ERR6430830,p__Pseudomonadota
ERR6430831,p__Pseudomonadota
ERR6430831,p__Pseudomonadota
ERR6430831,p__Pseudomonadota
ERR6430831,p__Bacillota
ERR6430833,p__Bacillota
ERR6430834,p__Pseudomonadota
ERR6430834,p__Actinomycetota
ERR6430834,p__Pseudomonadota
ERR6430834,p__Bacillota
ERR6430834,p__Pseudomonadota
ERR6430834,p__Pseudomonadota
ERR6430836,p__Pseudomonadota
ERR6430836,p__Pseudomonadota
ERR6430836,p__Pseudomonadota
ERR6430836,p__Pseudomonadota
ERR6430836,p__Pseudomonadota
ERR6430836,p__Pseudomonadota
ERR6430836,p__Chloroflexota
ERR6430836,p__Planctomycetota
ERR6430836,p__Chloroflexota
ERR6430836,p__Bacillota
ERR6430836,p__Nitrospinota
ERR6430836,p__Pseudomonadota
ERR6430836,p__Gemmatimonadota
ERR6430836,p__Bacteroidota
ERR6430836,p__Pseudomonadota
ERR6430837,p__Pseudomonadota
ERR6430837,p__Pseudomonadota
ERR6430837,p__Pseudomonadota
ERR6430837,p__Bacillota
ERR6430838,p__Bacteroidota
ERR6430838,p__Pseudomonadota
ERR6430838,p__Pseudomonadota
ERR6430838,p__Pseudomonadota
ERR6430838,p__Pseudomonadota
ERR6430838,p__Actinomycetota
ERR6430838,p__Bacillota
ERR6430839,p__Pseudomonadota
ERR6430839,p__Pseudomonadota
ERR6430839,p__Bacteroidota
ERR6430839,p__Pseudomonadota
ERR6430839,p__Bacillota
ERR6430839,p__Pseudomonadota
ERR6430840,p__Pseudomonadota
ERR6430840,p__Pseudomonadota
ERR6430840,p__Desulfobacterota_F
ERR6430840,p__Pseudomonadota
ERR6430840,p__Bacillota
ERR6430840,p__Pseudomonadota
ERR6430840,p__Desulfobacterota_F
ERR6430841,p__Bacillota
ERR6430841,p__Pseudomonadota
ERR6430841,p__Pseudomonadota
ERR6430841,p__Pseudomonadota
ERR6430842,p__Pseudomonadota
ERR6430842,p__Pseudomonadota
ERR6430842,p__Bacillota
ERR6430842,p__Pseudomonadota
ERR6430842,p__Pseudomonadota
ERR6430842,p__Pseudomonadota
ERR6430842,p__Desulfobacterota_F
ERR6430842,p__Pseudomonadota
ERR6430843,p__Pseudomonadota
ERR6430843,p__Bacillota
ERR6430843,p__Pseudomonadota
ERR6430843,p__Pseudomonadota
ERR6430843,p__Desulfobacterota_F
ERR6430843,p__Bacteroidota
ERR6430845,p__Pseudomonadota
ERR6430845,p__SAR324
ERR6430845,p__Bacteroidota
ERR6430845,p__Pseudomonadota
ERR6430845,p__Pseudomonadota
ERR6430845,p__Bacillota
ERR6430845,p__Pseudomonadota
ERR6430845,p__Pseudomonadota
ERR6430845,p__Nitrospinota
ERR6430845,p__Pseudomonadota
ERR6430845,p__Pseudomonadota
ERR6430845,p__Desulfobacterota_F
ERR6430846,p__Pseudomonadota
ERR6430846,p__Bacillota
ERR6430846,p__Pseudomonadota
ERR6430846,p__Pseudomonadota
ERR6430846,p__Pseudomonadota
ERR6430846,p__Pseudomonadota
ERR6430846,p__Pseudomonadota
ERR6430846,p__Bacteroidota
ERR6430846,p__Pseudomonadota
ERR6430846,p__Nitrospinota
ERR6430846,p__SAR324
ERR6430847,p__Desulfobacterota_F
ERR6430847,p__Pseudomonadota
ERR6430847,p__Desulfobacterota_F
ERR6430847,p__SAR324
ERR6430847,p__Pseudomonadota
ERR6430847,p__Pseudomonadota
ERR6430847,p__Bacteroidota
ERR6430847,p__Pseudomonadota
ERR6430847,p__Pseudomonadota
ERR6430847,p__Pseudomonadota
ERR6430847,p__Pseudomonadota
ERR6430847,p__Pseudomonadota
ERR6430847,p__Chloroflexota
ERR6430848,p__SAR324
ERR6430848,p__Chloroflexota
ERR6430848,p__Pseudomonadota
ERR6430848,p__Pseudomonadota
ERR6430848,p__Pseudomonadota
ERR6430848,p__Pseudomonadota
ERR6430848,p__Pseudomonadota
ERR6430848,p__Pseudomonadota
ERR6430848,p__Pseudomonadota
ERR6430848,p__Pseudomonadota
ERR6430848,p__Bacteroidota
ERR6430848,p__Pseudomonadota
ERR6430848,p__Pseudomonadota
ERR6430848,p__Pseudomonadota
ERR6430849,p__Thermoproteota
ERR6430849,p__Pseudomonadota
ERR6430849,p__Pseudomonadota
ERR6430849,p__Pseudomonadota
ERR6430849,p__Pseudomonadota
ERR6430849,p__Chloroflexota
ERR6430849,p__Pseudomonadota
ERR6430849,p__Desulfobacterota_F
ERR6430849,p__Pseudomonadota
ERR6430849,p__Pseudomonadota
ERR6430850,p__Pseudomonadota
ERR6430850,p__Pseudomonadota
ERR6430850,p__Pseudomonadota
ERR6430850,p__Pseudomonadota
ERR6430851,p__Pseudomonadota
ERR9855084,p__Acidobacteriota
ERR9855084,p__Bacteroidota
ERR9855085,p__Pseudomonadota
ERR9855085,p__Pseudomonadota
ERR9855086,p__Pseudomonadota
ERR9855086,p__Pseudomonadota
ERR9855086,p__Pseudomonadota
ERR9855087,p__Pseudomonadota
ERR9855088,p__Pseudomonadota
ERR9855088,p__Bacillota_C
ERR9855090,p__Pseudomonadota
ERR9855090,p__Pseudomonadota
ERR9855090,p__Pseudomonadota
ERR9855090,p__Pseudomonadota
ERR9855091,p__Verrucomicrobiota
ERR9855091,p__Desulfobacterota
ERR9855091,p__Verrucomicrobiota
ERR9855091,p__Bacillota_A
ERR9855091,p__Synergistota
ERR9855091,p__Bacillota
ERR9855091,p__Bacillota_A
ERR9855091,p__Desulfobacterota
ERR9855093,p__Pseudomonadota
ERR9855093,p__Pseudomonadota
ERR9855093,p__Pseudomonadota
ERR9855094,p__Pseudomonadota
ERR9855094,p__Pseudomonadota
ERR9855095,p__Pseudomonadota
ERR9855095,p__Pseudomonadota
ERR9855096,p__Pseudomonadota
ERR9855096,p__Pseudomonadota
ERR9855096,p__Pseudomonadota
ERR9855096,p__Pseudomonadota
ERR9855097,p__Campylobacterota
ERR9855097,p__Bacillota_A
ERR9855097,p__Desulfobacterota
ERR9855097,p__Bacillota
ERR9855097,p__Verrucomicrobiota
ERR9855097,p__Verrucomicrobiota
ERR9855097,p__Actinomycetota
ERR9855097,p__Synergistota
ERR9855098,p__Bacillota_C
ERR9855098,p__Pseudomonadota
ERR9855099,p__Bacteroidota
ERR9855099,p__Pseudomonadota
ERR9855099,p__Bacteroidota
SRR10002857,p__Pseudomonadota
SRR10002912,p__Actinomycetota
SRR10002938,p__Halobacteriota
SRR11673989,p__Pseudomonadota
